标题,播放数,链接
你的青春里有没有属于你的一首歌？,1441万,http://music.163.com/playlist?id=2201879658
100个悲伤的瞬间，有没有你的心酸？,784万,http://music.163.com/playlist?id=2179646633
致回不去的校园，致那美好的曾经,549万,http://music.163.com/playlist?id=2182683172
节奏带感且时尚性感<100首Fashion BGM>,813万,http://music.163.com/playlist?id=2173059435
于时间的长廊上 你再也不等我,966万,http://music.163.com/playlist?id=2168895862
熬夜和想你，我都该戒掉了,1277万,http://music.163.com/playlist?id=2163517726
"""多少人以朋友的名义爱着一个人? """,702万,http://music.163.com/playlist?id=2162749304
细数那些值得单曲循环的民谣,715万,http://music.163.com/playlist?id=2150055953
我爱你 第一句是假的 第二句也是假的,1280万,http://music.163.com/playlist?id=2144281377
节奏带感且深邃性感 ️️这才系Deep House呀,884万,http://music.163.com/playlist?id=2139118830
岁月如潮水，将我向老歌推,1253万,http://music.163.com/playlist?id=2139305008
歌词唱透了心声，回忆模糊了眼眸,1162万,http://music.163.com/playlist?id=2139324915
求求你们了，让我睡会儿好不好,720万,http://music.163.com/playlist?id=2131958935
生活，太需要这些节奏了,689万,http://music.163.com/playlist?id=2133712293
台湾偶像剧黄金年代|记忆是阵阵花香,643万,http://music.163.com/playlist?id=2134421380
下次理发我要让我的Tony播放这个歌单,1355万,http://music.163.com/playlist?id=2120785460
「不老女声」你 是 窗 前 深 浅 白 月 光,755万,http://music.163.com/playlist?id=2121679666
暖春，寄一首阳光明媚的歌给你,583万,http://music.163.com/playlist?id=2114030515
『無前奏 | 女嗓』开口即跪 心醉神迷.,1301万,http://music.163.com/playlist?id=2089907261
赶走阴霾 来一首欢快的欧美小调,814万,http://music.163.com/playlist?id=2084738832
古风精选 你眼中是江湖 我眼中是你,598万,http://music.163.com/playlist?id=2074681032
痛彻心扉地哭，然后刻骨铭心地记住,952万,http://music.163.com/playlist?id=2059430694
只是想安静的 享受那份呼吸的感觉。o・°。,649万,http://music.163.com/playlist?id=2058497430
